Test case,Status
usc_130_160_4k_test_20200602_180954,Pass
usc_130_160_androiddm_version_20200602_180501,Pass
usc_130_160_audio_speaker_20200602_180416,Pass
usc_130_160_backlight_20200602_180424,Pass
usc_130_160_bluetooth_20200602_180436,Pass
usc_130_160_boot_animation_check_20200602_180502,Pass
usc_130_160_boot_info_20200602_180926,Pass
usc_130_160_camera_20200602_180440,Fail
usc_130_160_comtest_20200602_180442,Pass
usc_130_160_comtest_burn_20200602_180922,Pass
usc_130_160_cpu_burn_20200602_180554,Pass
usc_130_160_cpu_info_20200602_180804,Pass
usc_130_160_cpu_wifi_iperf_20200602_180728,Pass
usc_130_160_display_info_20200602_180928,Pass
usc_130_160_display_test_20200602_180931,Pass
usc_130_160_emmc_20200602_180443,Pass
usc_130_160_emmc_burn_20200602_180855,Pass
usc_130_160_emmc_info_20200602_180827,Pass
usc_130_160_eth_iperf_20200602_180530,Pass
usc_130_160_eth_ping_20200602_180908,Pass
usc_130_160_gpio_key_20200602_180447,Pass
usc_130_160_gpio_test_20200602_180924,Pass
usc_130_160_mem_burn_20200602_180656,Pass
usc_130_160_mem_info_20200602_180825,Pass
usc_130_160_rfid_20200602_180449,Fail
usc_130_160_rtc_20200602_180450,Pass
usc_130_160_sd_info_20200602_180828,Fail
usc_130_160_system_customization_20200602_180503,Pass
usc_130_160_systeminformation_20200602_180455,Fail
usc_130_160_usb_info_20200602_180830,Fail
usc_130_160_usb_otg_info_20200602_180831,Fail
usc_130_160_usbdisk_sdcard_20200602_180457,Pass
usc_130_160_usbdisk_sdcard_burn_20200602_180832,Pass
usc_130_160_video_fps_20200602_180752,Pass
usc_130_160_wifi_iperf_20200602_180505,Pass
usc130_a8_eth_iperf_py_20200602_181036,Pass
 , 
Total,36
Pass,30
Fail,6
Exception,0
